Apartment_Name,Floor Plan,Apartment_Price,Complete Unit,Furnished,Utilities_included,Pet Friendly,Gym_and_Pool,In-Unit Laundry,Recreation areas,Free Parking,Apartment_Bus_stop,Apartment_Bus_no.,Fishpond,MSC,Zachary_Engineering,Reed Arena,Mays Business School,Rellis,Overall,Website,Contact No.,Address
Reville Ranch,"4,4",$519.00,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"3,3",$569.00,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"2,2",$609.00,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"2,2","$1,218.00",Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"1,1",$999.00,Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Z Islander ,"4,4",$609.00,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"3,3",$659.00,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"2,2",$679.00,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"2,2.5",$685.00,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"1,1","$1,139.00",Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,0,"$1,019.00",Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Domain at Northgate,"4,4",$895.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
Domain at Northgate,"3,3","$1,050.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
Domain at Northgate,"2,2","$1,125.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
Domain at Northgate,"1,1","$1,625.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
12th North,"2,2",$825.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.70 ,1.20 ,0.80 ,9.50 ,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840"
12th North,"1,1","$1,450.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.70 ,1.20 ,0.80 ,9.50 ,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840"
12th North,"0,0","$1,415.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.70 ,1.20 ,0.80 ,9.50 ,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840"
