Apartment_Name,Apartment_Price,Complete Unit,Furnished,Utilities_included,Pet Friendly,Gym_and_Pool,In-Unit Laundry,Recreation areas,Free Parking,Apartment_Bus_stop,Apartment_Bus_no.,Fishpond,MSC,Zachary_Engineering,Reed Arena,Mays Business School,Rellis,Overall,Website,Contact No.,Address,Bedroom,Bathroom
Reville Ranch,519,0,1,0,1,1,1,1,1,1,15,1.8,1.9,1.9,1.8,1.4,6.6,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd,4,4.0
Reville Ranch,569,0,1,0,1,1,1,1,1,1,15,1.8,1.9,1.9,1.8,1.4,6.6,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd,3,3.0
Reville Ranch,609,0,1,0,1,1,1,1,1,1,15,1.8,1.9,1.9,1.8,1.4,6.6,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd,2,2.0
Reville Ranch,1218,1,1,0,1,1,1,1,1,1,15,1.8,1.9,1.9,1.8,1.4,6.6,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd,2,2.0
Reville Ranch,999,1,1,0,1,1,1,1,1,1,15,1.8,1.9,1.9,1.8,1.4,6.6,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd,1,1.0
Z Islander ,609,0,1,0,1,1,1,1,1,1,15,1.7,1.7,1.7,1.8,1.4,6.6,4.2,https://zislander.com/,(979) 200-4816,3803 Wellborn rd,4,4.0
Z Islander ,659,0,1,0,1,1,1,1,1,1,15,1.7,1.7,1.7,1.8,1.4,6.6,4.2,https://zislander.com/,(979) 200-4816,3803 Wellborn rd,3,3.0
Z Islander ,679,0,1,0,1,1,1,1,1,1,15,1.7,1.7,1.7,1.8,1.4,6.6,4.2,https://zislander.com/,(979) 200-4816,3803 Wellborn rd,2,2.0
Z Islander ,685,0,1,0,1,1,1,1,1,1,15,1.7,1.7,1.7,1.8,1.4,6.6,4.2,https://zislander.com/,(979) 200-4816,3803 Wellborn rd,2,2.5
Z Islander ,1139,1,1,0,1,1,1,1,1,1,15,1.7,1.7,1.7,1.8,1.4,6.6,4.2,https://zislander.com/,(979) 200-4816,3803 Wellborn rd,1,1.0
Z Islander ,1019,1,1,0,1,1,1,1,1,1,15,1.7,1.7,1.7,1.8,1.4,6.6,4.2,https://zislander.com/,(979) 200-4816,3803 Wellborn rd,0,0.0
Domain at Northgate,895,0,1,0,1,1,1,1,0,1,15,0.4,0.7,0.7,1.0,0.7,9.4,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840",4,4.0
Domain at Northgate,1050,0,1,0,1,1,1,1,0,1,15,0.4,0.7,0.7,1.0,0.7,9.4,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840",3,3.0
Domain at Northgate,1125,0,1,0,1,1,1,1,0,1,15,0.4,0.7,0.7,1.0,0.7,9.4,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840",2,2.0
Domain at Northgate,1625,1,1,0,1,1,1,1,0,1,15,0.4,0.7,0.7,1.0,0.7,9.4,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840",1,1.0
12th North,825,0,1,0,1,1,1,1,0,1,15,0.4,0.5,0.7,1.2,0.8,9.5,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840",2,2.0
12th North,1450,1,1,0,1,1,1,1,0,1,15,0.4,0.5,0.7,1.2,0.8,9.5,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840",1,1.0
12th North,1415,1,1,0,1,1,1,1,0,1,15,0.4,0.5,0.7,1.2,0.8,9.5,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840",0,0.0
The standard at collage station,870,0,1,0,1,1,1,1,0,1,15,0.4,0.6,0.7,1.1,0.8,9.5,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840",6,6.0
The standard at collage station,895,0,1,0,1,1,1,1,0,1,15,0.4,0.6,0.7,1.1,0.8,9.5,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840",5,5.0
The standard at collage station,840,0,1,0,1,1,1,1,0,1,15,0.4,0.6,0.7,1.1,0.8,9.5,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840",5,3.0
The standard at collage station,960,0,1,0,1,1,1,1,0,1,15,0.4,0.6,0.7,1.1,0.8,9.5,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840",4,4.0
The standard at collage station,1030,0,1,0,1,1,1,1,0,1,15,0.4,0.6,0.7,1.1,0.8,9.5,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840",3,3.0
The standard at collage station,1175,0,1,0,1,1,1,1,0,1,15,0.4,0.6,0.7,1.1,0.8,9.5,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840",2,2.0
The standard at collage station,1355,1,1,0,1,1,1,1,0,1,15,0.4,0.6,0.7,1.1,0.8,9.5,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840",1,1.0
Cherry Street Apartments at Northgate,989,0,1,0,1,1,1,1,0,1,15,0.5,0.6,0.7,1.1,0.8,9.5,3.8,https://www.cherrystreetapts.com,1 979-608-7013,"200 Cherry St
College Station, TX 77840",2,2.0
Cherry Street Apartments at Northgate,1289,1,1,0,1,1,1,1,0,1,15,0.5,0.7,0.8,1.2,0.9,9.6,3.8,https://www.cherrystreetapts.com,1 979-608-7013,"200 Cherry St
College Station, TX 77840",1,1.0
Lark Northgate,799,0,1,0,1,1,1,1,0,1,15,0.8,0.9,1.1,1.2,1.1,9.3,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas",5,5.0
Lark Northgate,819,0,1,0,1,1,1,1,0,1,15,0.8,0.9,1.1,1.2,1.1,9.3,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas",4,4.0
Lark Northgate,1109,0,1,0,1,1,1,1,0,1,15,0.8,0.9,1.1,1.2,1.1,9.3,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas",2,2.0
Lark Northgate,1449,1,1,0,1,1,1,1,0,1,15,0.8,0.9,1.1,1.2,1.1,9.3,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas",1,1.0
College Main Apartments,839,0,1,0,1,1,1,1,0,1,15,0.8,0.9,1.0,1.6,1.3,9.4,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801",2,1.5
College Main Apartments,779,0,1,0,1,1,1,1,0,1,15,0.8,0.9,1.0,1.6,1.3,9.4,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801",2,1.0
College Main Apartments,739,0,1,0,1,1,1,1,0,1,15,0.8,0.9,1.0,1.6,1.3,9.4,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801",1,1.0
Aggie Station,844,0,1,0,1,1,1,1,0,1,15,1.0,1.3,1.2,1.6,1.4,9.2,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801",4,4.0
Aggie Station,874,0,1,0,1,1,1,1,0,1,15,1.0,1.3,1.2,1.6,1.4,9.2,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801",3,3.0
Aggie Station,924,0,1,0,1,1,1,1,0,1,15,1.0,1.3,1.2,1.6,1.4,9.2,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801",2,2.0
Country Place Apartment Homes,855,1,1,0,1,1,1,1,0,0,0,1.0,1.1,1.2,1.8,1.5,10.2,3.3,https://www.originalmanagement.net,(979) 691-6200,3902 College Main,1,1.0
Saddlewood Club,1113,0,0,0,1,1,1,1,1,1,15,1.7,1.9,1.9,1.8,1.4,6.6,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd,3,2.0
Saddlewood Club,971,0,0,0,1,1,1,1,1,1,15,1.7,1.9,1.9,1.8,1.4,6.6,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd,2,2.0
Saddlewood Club,816,1,0,0,1,1,1,1,1,1,15,1.7,1.9,1.9,1.8,1.4,6.6,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd,1,1.0
OTTO ,989,0,1,0,1,1,1,1,0,1,15,0.5,0.7,0.9,1.1,0.8,9.5,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840",6,6.0
OTTO ,1029,0,1,0,1,1,1,1,0,1,15,0.5,0.7,0.9,1.1,0.8,9.5,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840",5,5.0
OTTO ,1099,0,1,0,1,1,1,1,0,1,15,0.5,0.7,0.9,1.1,0.8,9.5,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840",4,4.0
OTTO ,1129,0,1,0,1,1,1,1,0,1,15,0.5,0.7,0.9,1.1,0.8,9.5,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840",3,3.0
OTTO ,1279,0,1,0,1,1,1,1,0,1,15,0.5,0.7,0.9,1.1,0.8,9.5,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840",2,2.0
OTTO ,1659,1,1,0,1,1,1,1,0,1,15,0.5,0.7,0.9,1.1,0.8,9.5,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840",1,1.0
OTTO ,1449,1,1,0,1,1,1,1,0,1,15,0.5,0.7,0.9,1.1,0.8,9.5,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840",0,0.0
REV,1249,0,1,0,1,1,1,1,0,1,15,0.4,0.5,0.6,1.2,0.9,9.6,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840",6,6.0
REV,1099,0,1,0,1,1,1,1,0,1,15,0.4,0.5,0.6,1.2,0.9,9.6,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840",5,5.0
REV,1259,0,1,0,1,1,1,1,0,1,15,0.4,0.5,0.6,1.2,0.9,9.6,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840",4,4.0
REV,1359,0,1,0,1,1,1,1,0,1,15,0.4,0.5,0.6,1.2,0.9,9.6,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840",3,3.0
REV,1469,0,1,0,1,1,1,1,0,1,15,0.4,0.5,0.6,1.2,0.9,9.6,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840",2,2.0
REV,2199,1,1,0,1,1,1,1,0,1,15,0.4,0.5,0.6,1.2,0.9,9.6,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840",1,1.0
REV,1799,1,1,0,1,1,1,1,0,1,15,0.4,0.5,0.6,1.2,0.9,9.6,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840",0,0.0
Aspire College station,1059,0,1,0,1,1,1,1,1,0,0,0.4,0.6,0.3,1.3,1.0,9.7,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840",6,6.0
Aspire College station,1019,0,1,0,1,1,1,1,1,0,0,0.4,0.6,0.3,1.3,1.0,9.7,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840",5,5.0
Aspire College station,1219,0,1,0,1,1,1,1,1,0,0,0.4,0.6,0.3,1.3,1.0,9.7,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840",4,4.0
