Apartment_Name,Floor Plan,Apartment_Price,Complete Unit,Furnished,Utilities_included,Pet Friendly,Gym_and_Pool,In-Unit Laundry,Recreation areas,Free Parking,Apartment_Bus_stop,Apartment_Bus_no.,Fishpond,MSC,Zachary_Engineering,Reed Arena,Mays Business School,Rellis,Overall,Website,Contact No.,Address
Reville Ranch,"4,4",519,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"3,3",569,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"2,2",609,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"2,2",1218,Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Reville Ranch,"1,1",999,Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.80 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.0,https://www.reveilleranchapartments.com/,(979) 314-2453,3645 Wellborn rd
Z Islander ,"4,4",609,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"3,3",659,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"2,2",679,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"2,2.5",685,N,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,"1,1",1139,Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Z Islander ,0,1019,Y,Y,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.70 ,1.70 ,1.80 ,1.40 ,6.60 ,4.2,https://zislander.com/?gad_source=1&gclid=CjwKCAjw7-SvBhB6EiwAwYdCAXYwXNLKYhKlhb6uIhd7ugBD5BhguwdN2_f-UID6AlHN7XOIG8ZBuhoCCBgQAvD_BwE,(979) 200-4816,3803 Wellborn rd
Domain at Northgate,"4,4",895,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
Domain at Northgate,"3,3",1050,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
Domain at Northgate,"2,2",1125,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
Domain at Northgate,"1,1",1625,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.70 ,0.70 ,1.00 ,0.70 ,9.40 ,3.7,https://www.domainatnorthgate.com,(979) 703-6883,"101 Church AvenueCollege Station, TX 77840"
12th North,"2,2",825,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.70 ,1.20 ,0.80 ,9.50 ,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840"
12th North,"1,1",1450,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.70 ,1.20 ,0.80 ,9.50 ,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840"
12th North,"0,0",1415,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.70 ,1.20 ,0.80 ,9.50 ,3.4,https://live12north.com,(855) 936-5276,"301 Church AvenueCollege Station, TX 77840"
The standard at collage station,"6,6",870,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"5,5",895,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"5,3",840,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"4,4",960,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"3,3",1030,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"2,2",1175,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"1,1",1355,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
Cherry Street Apartments at Northgate,"2,2",989,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://www.cherrystreetapts.com,1 979-608-7013,"200 Cherry St
College Station, TX 77840"
Cherry Street Apartments at Northgate,"1,1",1289,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.80 ,1.20 ,0.90 ,9.60 ,3.8,https://www.cherrystreetapts.com,1 979-608-7013,"200 Cherry St
College Station, TX 77840"
Lark Northgate,"5,5",799,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
Lark Northgate,"4,4",819,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
Lark Northgate,"2,2",1109,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
Lark Northgate,"1,1",1449,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
College Main Apartments,"2,1.5",839,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.00 ,1.60 ,1.30 ,9.40 ,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801"
College Main Apartments,"2,1",779,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.00 ,1.60 ,1.30 ,9.40 ,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801"
College Main Apartments,"1,1",739,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.00 ,1.60 ,1.30 ,9.40 ,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801"
Aggie Station,"4,4",844,N,Y,N,Y,Y,Y,Y,N,Y,15,1.00 ,1.30 ,1.20 ,1.60 ,1.40 ,9.20 ,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801"
